UnitCode,UnitName,UnitWebsite,Black,BrownGrizzly,Polar
SLBE,Sleeping Bear Dunes National Lakeshore,http://www.nps.gov/SLBE,1,0,0
SUCR,Sunset Crater Volcano National Monument,http://www.nps.gov/SUCR,1,0,0
TICA,Timpanogos Cave National Monument,http://www.nps.gov/TICA,1,0,0
TONT,Tonto National Monument,http://www.nps.gov/TONT,1,0,0
TUMA,Tumacacori National Historical Park,http://www.nps.gov/TUMA,1,0,0
TUZI,Tuzigoot National Monument,http://www.nps.gov/TUZI,1,0,0
UPDE,Upper Delaware Scenic & Recreational River,http://www.nps.gov/UPDE,1,0,0
VOYA,Voyageurs National Park,http://www.nps.gov/VOYA,1,0,0
WACA,Walnut Canyon National Monument,http://www.nps.gov/WACA,1,0,0
WHIS,Whiskeytown National Recreation Area,http://www.nps.gov/WHIS,1,0,0
WICR,Wilson's Creek National Battlefield,http://www.nps.gov/WICR,1,0,0
WRST,Wrangell - St Elias National Park and Preserve,http://www.nps.gov/WRST,1,1,0
WUPA,Wupatki National Monument,http://www.nps.gov/WUPA,1,0,0
YELL,Yellowstone National Park,http://www.nps.gov/YELL,1,1,0
YOSE,Yosemite National Park,http://www.nps.gov/YOSE,1,0,0
YUCH,Yukon-Charley Rivers National Preserve,http://www.nps.gov/YUCH,1,1,0
YUHO,Yucca House National Monument,http://www.nps.gov/YUHO,1,0,0
ZION,Zion National Park,http://www.nps.gov/ZION,1,0,0
