the_geom,cartodb_id,the_geom_webmercator,park,link,lat,lng,project,fiscalyear,hex
0101000020E6100000D36BB3B112F559C066868DB27EDD4540,20,0101000020110F0000166CA8A0A90B66C11A82F3F1B2B05441,Jewel Cave National Monument,https://www.nps.gov/jeca/index.htm,43.730429,-103.829266,Provide Vital Support for Jewel Cave's WNS/Bat Management Program,2017,#117733
0101000020E61000001215AA9B8BAC5EC0486C770FD0174540,21,0101000020110F00009C0590522B0D6AC1D030F6EF45CB5341,Klamath Network,https://www.nps.gov/im/klmn/index.htm,42.186037,-122.696021,Design Park-level Bat Monitoring Programs and Conduct WNS Surveillance in Klamath Network,2017,#117733
0101000020E61000009561DC0DA2605EC0CEFE40B96DDB4440,22,0101000020110F0000D3AE2866B2CC69C18606811F51865341,Lava Beds National Monument,https://www.nps.gov/labe/index.htm,41.714286,-121.509891,Bats on a Volcanic Landscape: Continuing Critical Research and Education,2017,#117733
0101000020E61000004AB89047708655C0C5E40D30F3974240,23,0101000020110F000022F50D69044862C1F3F6BCE390085141,Mammoth Cave National Park,https://www.nps.gov/maca/index.htm,37.187109,-86.100603,Managing WNS Impacts: Interpretation and Management 2017-2018,2017,#117733
0101000020E6100000F0332E1C08A252C0C72FBC92E4614440,24,0101000020110F00004775AFF960A65FC1695CE8660BFD5241,Morristown National Historical Park,https://www.nps.gov/morr/index.htm,40.764788,-74.531745,Conduct Post White-nose Syndrome Follow-up Study of Park Bat Population,2017,#117733
0101000020E610000043E4F4F57C435AC030F0DC7BB8424440,25,0101000020110F0000FFBC61B5424E66C125CE9A5227DA5241,National Park Service,https://www.nps.gov/orgs/1103/whb.htm,40.521255,-105.054502,"Online, Live-Broadcast Bat Acoustic Data Management Training to Build Capacity for Bat Acoustic Monitoring and Reporting Across the NPS",2017,#117733
0101000020E6100000ED0C535BEA4254C02810768A55EF4240,26,0101000020110F000054C2ACB93F3561C1847A833B26665141,New River Gorge National River,https://www.nps.gov/neri/index.htm,37.869798,-81.045554,Gate Abandoned Mine Portals ,2017,#117733
0101000020E6100000FE9B1727BE875EC0001B1021AE604740,27,0101000020110F0000256B71ADE9ED69C135002D89E4835641,North Coast Cascades Network,https://www.nps.gov/im/nccn/index.htm,46.755314,-122.120981,North Coast Cascades Network Bat Population Monitoring and WNS Surveillance,2017,#117733
0101000020E61000008EB1135E82CD59C0BA30D28BDA094640,28,0101000020110F00008E74F5A20FEA65C1145818C4FCE45441,Northern Great Plains I&M Network,https://www.nps.gov/im/ngpn/index.htm,44.076982,-103.211082,Surveillance for the White-nose Syndrome Fungus in Multiple Northern Great Plains Parks,2017,#117733
0101000020E61000007D96E7C1DDD95EC0D865F84F370C4540,29,0101000020110F000005581808A9336AC17CAB3A95FDBD5341,Oregon Caves National Monument and Preserve,https://www.nps.gov/orca/index.htm,42.095438,-123.40416,"Determine Bat Patterns and Susceptibility to WNS, Establish NABat and Pd Detection Programs, and Continue WNS Screening and Education",2017,#117733
0101000020E6100000ED6305BF0DBA56C0EC89AE0B3F764240,30,0101000020110F0000CE5E6C5B464D63C118C6A3AAB2E45041,Ozark National Scenic Riverways,https://www.nps.gov/ozar/index.htm,36.923799,-90.907089,Conduct Biological and WNS Monitoring and Expand Educational Opportunities ,2017,#117733
0101000020E6100000772B4B74965853C0F98381E7DE994240,31,0101000020110F00000CBC1AFB3B6E60C1D6BC2B259D0A5141,Petersburg National Battlefield,https://www.nps.gov/pete/index.htm,37.202115,-77.384183,Fall Acoustic and Mist-net Surveys ,2017,#117733
0101000020E6100000838593347F5853C034BDC458A64B4340,32,0101000020110F00003A1A4F3C286E60C1915AB900F6C95141,Prince William Forest Park,https://www.nps.gov/prwi/index.htm,38.591014,-77.382764,Intensive Mist-net Surveys of Rock Creek Park and Prince William Forest Park,2017,#117733
0101000020E6100000EA58A5F44C5753C0164F3DD2E0B64240,33,0101000020110F0000D4363923246D60C14A7A642F97295141,Richmond National Battlefield Park,https://www.nps.gov/rich/index.htm,37.428736,-77.364072,Fall Acoustic and Mist-net Surveys ,2017,#117733
0101000020E6100000990F0874264353C06A8995D1C8774340,34,0101000020110F000094001705075C60C1DDA4937B08FA5141,Rock Creek Park,https://www.nps.gov/rocr/index.htm,38.935816,-77.049222,Intensive Mist-net Surveys of Rock Creek Park and Prince William Forest Park,2017,#117733
0101000020E610000000000048B1369DC1A94E07B29EEA4240,35,,San Francisco Bay Area Network,https://www.nps.gov/im/sfan/index.htm,37.832968,-122530898,Initiate WNS Surveillance in the San Francisco Bay Area and Establish Baseline Diversity and Population Information,2017,#117733
0101000020E610000036E7E099D0B45DC0AD174339D13E4240,36,0101000020110F0000246E3A8AC53A69C11E7B0241FAA95041,Sequoia & Kings Canyon National Parks,https://www.nps.gov/seki/index.htm,36.49076,-118.825232,Development and Implementation of WNS Surveillance and Bat Roost Monitoring in the West,2017,#117733
0101000020E6100000E4D87A8670AB53C0D0807A336A264340,37,0101000020110F000061AA6CB399B460C1C1D9935495A15141,Shenandoah National Park,https://www.nps.gov/shen/index.htm,38.300116,-78.678743,Northern Long-eared Bat Materning Colony Status,2017,#117733
0101000020E6100000E509849D62ED5BC0AE122C0E67384440,38,0101000020110F00003373DDA0F9B767C172881CF0A1CE5241,Timpanogos Cave National Monument,https://www.nps.gov/tica/index.htm,40.440645,-111.709144,"Bat Population Monitoring, WNS Outreach, and Decontamination",2017,#117733
0101000020E610000033A8363811405DC081CEA44DD55D4740,39,0101000020110F00006F586D2D9ED768C152AA893C5D805641,Upper Columbia Basin I&M Network,https://www.nps.gov/im/ucbn/index.htm,46.733072,-117.001051,North American Bat Monitoring Program (NABat) NPS-PWR Regional Coordinator,2017,#117733
0101000020E6100000ECA694D74AC352C040321D3A3DCF4440,40,0101000020110F00006580C11AE0DE5FC1F6E0D36575785341,Upper Delaware Scenic & Recreational River,https://www.nps.gov/upde/index.htm,41.619056,-75.051443,Continued Acoustic Monitoring and Management of WNS-affected Bats in the Upper Delaware Scenic and Recreational River Corridor,2017,#117733
0101000020E61000007A1A3048FADA59C04089CF9D60CD4540,41,0101000020110F0000B87390F37FF565C14A249E7CC69D5441,Wind Cave National Park,https://www.nps.gov/wica/index.htm,43.604511,-103.421526,Continue Assessment of Bat Populations/WNS Surveillance Program,2017,#117733
0101000020E61000008AAC35945ABC62C0554E7B4ACE9B4E40,42,0101000020110F0000FB1F5AF116D36FC1A7FDA453448C6041,Alaska Regional Office,https://www.nps.gov/orgs/1840/index.htm,61.217233,-149.886057,"Determine Occurrence, Habitat, Roosting, and Migration Patterns for Bats in Alaska National Parks (DENA, KEFJ, KATM, WRST, BELA, LACL, KLGO, GLBA)",2018,#fa946e
0101000020E6100000B5A50EF27AB962C0A0DFF76F5E044E40,43,0101000020110F000061BC396535CE6FC15BDDAA9D25096041,Kenai Fjords National Park,https://www.nps.gov/kefj/index.htm,60.034132,-149.796258,Filling the Gap: Determining the Status and Distribution of Bats in Kenai Fjords National Park with an Integrated Education and Citizen Science Program,2018,#fa946e
0101000020E610000041EF8D21005E5BC0C32E8A1EF8104240,44,0101000020110F0000F222BFCC323E67C17A993D9CA7795041,Canyon de Chelly National Monument,https://www.nps.gov/cach/index.htm,36.132572,-109.468758,Pre-WNS Species Distribution on Northeastern Arizona NPS Lands,2018,#fa946e
0101000020E6100000AB23473A031C5AC0D4B5F63E55174040,45,0101000020110F0000933BFDE7BB2C66C15ADACA5FFFE44C41,Carlsbad Caverns National Park,https://www.nps.gov/cave/index.htm,32.182289,-104.437697,Construction of a Decontamination Mat to Support WNS Response at Carlsbad Caverns National Park,2018,#fa946e
0101000020E6100000E44A3D0B42D25BC09F758D96032F4340,46,0101000020110F0000EDE1099AEFA067C195AC8ED2E4AA5141,Capitol Reef National Park,https://www.nps.gov/care/index.htm,38.367297,-111.285281,Pre-WNS Species Distribution and Hibernacula Surveys at Capitol Reef National Park,2018,#fa946e
0101000020E61000003465A71FD4555BC00169FF03AC014040,47,0101000020110F00007D8CA60E423767C1CEAA7DAB90B94C41,Chiricahua National Monument ,https://www.nps.gov/chir/index.htm,32.013062,-109.341072,Increasing the Effectiveness of WNS Monitoring and Detection in Bat Populations at Chiricahua National Monument and Fort Bowie National Historic Site,2018,#fa946e
0101000020E610000000000000000000002B357BA015144040,48,0101000020110F000000000000000000007F560B967ADE4C41,Fort Bowie National Historic Site,https://www.nps.gov/fobo/index.htm,32.15691,,Increasing the Effectiveness of WNS Monitoring and Detection in Bat Populations at Chiricahua National Monument and Fort Bowie National Historic Site,2018,#fa946e
0101000020E6100000A56ABB09BE2D5AC0FF4124438E4B4640,49,0101000020110F00001DB822B8CA3B66C1C30C7A1200335541,Devils Tower National Monument,https://www.nps.gov/deto/index.htm,44.590279,-104.714724,"Devils Tower National Monument Climber Outreach and Decontamination Messaging, Pd Surveillance, and Public Education",2018,#fa946e
0101000020E6100000D4D2DC0A61725CC09AB1683A3B614840,50,0101000020110F000042810745ED2868C173CB70FB0EC85741,Glacier National Park,https://www.nps.gov/glac/index.htm,48.75962,-113.787173,Searching for Bat Hibernacula in Glacier National Park,2018,#fa946e
0101000020E610000011C5E40D30AE5BC00F0D8B51D7C24240,51,0101000020110F000060F8E12B4D8267C1CC32A29264365141,Glen Canyon National Park,https://www.nps.gov/glca/index.htm,37.522196,-110.721683,"Assessing Distribution, Abundance, Trends, and Threats to Bat Species Susceptible to WNS",2018,#fa946e
0101000020E6100000EDD79DEE3C075CC057B08D78B20D4240,52,0101000020110F0000077E2191EECD67C12C52CAE936765041,Grand Canyon National Park ,https://www.nps.gov/grca/index.htm,36.107009,-112.113094,Building a Long Term Bat Monitoring Program at Grand Canyon National Park,2018,#fa946e
0101000020E6100000FBAC32535A6C5AC0EF3A1BF2CF2A4440,53,0101000020110F000095F2668CF77066C111EEBD997ABF5241,Rocky Mountain National Park,https://www.nps.gov/romo/index.htm,40.334471,-105.693013,"Identify Bat Species Presence, Distribution, Roosting Areas and WNS Occurrence in Rocky Mountain National Park",2018,#fa946e
0101000020E6100000E509849D62ED5BC0AE122C0E67384440,54,0101000020110F00003373DDA0F9B767C172881CF0A1CE5241,Timpanogos Cave National Monument,https://www.nps.gov/tica/index.htm,40.440645,-111.709144,Distance Learning Education and Acoustic Monitoring for WNS at Timpanogos Cave National Monument,2018,#fa946e
0101000020E6100000CDCD37A27BA75BC0D1CE691668374640,55,0101000020110F000076EF336A9B7C67C1B9F112C5001B5541,Yellowstone National Park,https://www.nps.gov/yell/index.htm,44.432864,-110.616921,Park-wide Implementation of NABat Acoustic Monitoring in Yellowstone National Park,2018,#fa946e
0101000020E61000000116F9F5433157C0A86E2EFEB6FD4140,56,0101000020110F00004D15867C85B263C1F45CB4466D655041,Buffalo National River,https://www.nps.gov/buff/index.htm,35.982147,-92.769773,WNS Response 2018,2018,#fa946e
0101000020E6100000CC0BB08F4E6454C00AF5F411F8A34440,57,0101000020110F0000C946D5B79B5161C1F17D8AC36D475341,Cuyahoga Valley National Park,https://www.nps.gov/cuva/index.htm,41.281008,-81.567295,Provide for Enhanced Science Communication and Public Outreach Related to WNS,2018,#fa946e
0101000020E6100000349C3237DFCB56C0F1B73D41628B4540,58,0101000020110F00000709206A685C63C120E401A8B3505441,Effigy Mounds National Monument,https://www.nps.gov/efmo/index.htm,43.088936,-91.185499,Monitoring and Documenting Bat Population Response to WNS Fungus (Pseudogymnoascus destructans) and Educating the Public on Population Impacts at Effigy Mounds National Monument,2018,#fa946e
0101000020E6100000C6FA062637B656C0DB19A6B6D44D4740,59,0101000020110F00008C582ED6034A63C14FE9E5E18E6C5641,Great Lakes Network,https://www.nps.gov/im/glkn/index.htm,46.608054,-90.847116,Continued Acoustic Monitoring of Bats in the National Parks of the Great Lakes Region,2018,#fa946e
0101000020E61000006AF5D555813558C04F1E166A4D254440,60,0101000020110F000033B96A0A8B8F64C10F0B7B8B57B95241,Homestead National Monument of Amierca,https://www.nps.gov/home/index.htm,40.291425,-96.836019,Monitoring Bat Resilience in an Agriculturally Dominated Landscape,2018,#fa946e
0101000020E6100000D36BB3B112F559C066868DB27EDD4540,61,0101000020110F0000166CA8A0A90B66C11A82F3F1B2B05441,Jewel Cave National Monument,https://www.nps.gov/jeca/index.htm,43.730429,-103.829266,Provide Support to Ongoing Bat Research and Monitoring Activities at Jewel Cave National Monument,2018,#fa946e
0101000020E61000008EB1135E82CD59C0BA30D28BDA094640,62,0101000020110F00008E74F5A20FEA65C1145818C4FCE45441,Northern Great Plains Network,https://www.nps.gov/im/ngpn/index.htm,44.076982,-103.211082,Continue Acoustic Monitoring of Bats in the NGPN and Conduct Statistical Analysis of 2014-18 Data,2018,#fa946e
0101000020E6100000ED6305BF0DBA56C0EC89AE0B3F764240,63,0101000020110F0000CE5E6C5B464D63C118C6A3AAB2E45041,Ozark National Scenic Riverways,https://www.nps.gov/ozar/index.htm,36.923799,-90.907089,Conduct Biological and WNS Monitoring and Expand Citizen and Educational Opportunities at Ozark National Scenic Riverways,2018,#fa946e
0101000020E61000007A1A3048FADA59C04089CF9D60CD4540,64,0101000020110F0000B87390F37FF565C14A249E7CC69D5441,Wind Cave National Park,https://www.nps.gov/wica/index.htm,43.604511,-103.421526,Continue Assessment of Bat Populations/WNS Surveillance Program at Wind Cave National Park,2018,#fa946e
0101000020E610000009C1AA7AF97453C0A8E507AEF2CC4340,65,0101000020110F0000A93C0EDE578660C1B0D273E075575241,Chesapeake & Ohio Canal National Historical Park,https://www.nps.gov/choh/index.htm,39.601156,-77.827727,Install Gate to Protect Hibernaculum from Visitor Impacts,2018,#fa946e
