ALPHA,Park Name,State,Region,Welcome Letter,CFP Park,Date Cert.,Acreage,Visitation,,
FEHA,Federal Hall National Memorial,NY,NER,,0,, 	17 ," 	20,798 ",,
CAWO,Carter G. Woodson National Historic Site,DC,NCR,,1,2011, 	75 ," 	60,916 ",,
FILA,First Ladies National Historic Site,OH,MWR,,0,, 	444 ," 	12,689 ",,
FLNI,Flight 93 National Memorial,PA,NER,,0,, 	26 ," 	114,391 ",,
FLFO,Florissant Fossil Beds National Monument,CO,IMR,,0,, 	210 ," 	29,253 ",,
CAMO,Catoctin Mountain Park,MD,NCR,,1,3/21/13, 	710 ," 	48,714 ",,
FOBO,Fort Bowie National Historic Site,AZ,IMR,,0,, 	7 ," 	29,640 ",,
FOCA,Fort Caroline National Memorial,FL,SER,,0,, 	187 ," 	90,919 ",,
FODA,Fort Davis National Historic Site,TX,IMR,,0,, 	211 ," 	42,516 ",,
FODO,Fort Donelson National Battlefield,TN,SER,,0,," 	1,170 "," 	24,244 ",,
FOFR,Fort Frederica National Monument,GA,SER,,0,," 	5,550 "," 	947,402 ",,
FOLA,Fort Laramie National Historic Site,WY,IMR,,0,," 	15,096 "," 	1,649,326 ",,
FOLS,Fort Larned National Historic Site,KS,MWR,,0,," 	571,790 "," 	16,996 ",,
FOMA,Fort Matanzas National Monument,FL,SER,,0,, 	8 ," 	16,758 ",,
FOMC,Fort McHenry National Monument,MD,NER,,0,, 	91 ," 	2,204,896 ",,
FONE,Fort Necessity National Battlefield,PA,NER,,0,," 	1,274 "," 	93,297 ",,
CLBA,Clara Barton National Historic Site,MD,NCR,,1,2012," 	1,870 ", 	-00 ,,
FOPU,Fort Pulaski National Monument,GA,SER,,0,," 	1,758 "," 	22,424 ",,
FORA,Fort Raleigh National Historic Site,NC,SER,,0,, 	200 ," 	110,267 ",,
FOSC,Fort Scott National Historic Site,KS,MWR,,0,, 	12 ," 	327,217 ",,
FOSM,Fort Smith National Historic Site,AR,MWR,,0,, 	27 ," 	27,958 ",,
FOST,Fort Stanwix National Monument,NY,NER,,0,," 	25,279 "," 	476,744 ",,
FOSU,Fort Sumter National Monument,SC,SER,,0,, 	15 ," 	15,586 ",,
FOUN,Fort Union National Monument,NM,IMR,,0,," 	53,775 ", 	-00 ,,
FOUS,Fort Union Trading Post National Historic Site,ND,MWR,,0,," 	34,159 "," 	132,234 ",,
COGA,Constitution Gardens ,DC,NCR,,1,2011," 	1,278 "," 	1,857,902 ",,
FOTH,Ford's Theatre National Historic Site,DC,NCR,,1,2011,,,,
FOBU,Fossil Butte National Monument,WY,IMR,,0,, 	161 ," 	17,397 ",,
FOWA,Fort Washington Park,MD,NCR,,1,2011," 	23,074 "," 	57,647 ",,
FRDE,Franklin Delano Roosevelt Memorial,DC,NCR,,1,2011," 	80,785 "," 	1,215,768 ",,
FRLA,Frederick Law Olmsted National Historic Site,MA,NER,,0,," 	4,300 "," 	51,853 ", ,
FRSP,Fred-Spots Memorial National Military Park,VA,NER,,0,, 	25 ," 	103,673 ",,
FRHI,Friendship Hill National Historic Site,PA,NER,,0,," 	73,236 "," 	375,550 ",,
GAAR,Gates of Arctic National Park and Preserve,AK,AKR,,0,, 	282 ," 	59,094 ",,
FRDO,Frederick Douglass National Historic Site,DC,NCR,,1,2011," 	25,279 "," 	476,744 ",,
GARI,Gauley River National Recreation Area,WV,NER,,0,," 	3,005 "," 	85,738 ",,
GEGR,General Grant National Memorial,NY,NER,,0,," 	71,291 "," 	1,127,698 ",,
GERO,George R Clark National Historic Park,IN,MWR,,0,," 	10,894 "," 	22,887 ",,
GEWA,George Washington Birthplace National Memorial,VA,NER,,0,," 	70,447 "," 	397,483 ",,
GWCA,George Washington Carver National Monument,MO,MWR,,0,, 	10 ," 	20,995 ",,
GWMP,George Washington Memorial Parkway,MD,NCR,,1,2012," 	218,200 "," 	218,549 ",,
GETT,Gettysburg National Military Park,PA,NER,,0,, 	3 ," 	11,684 ",,
GICL,Gila Cliff Dwellings National Monument,NM,IMR,,0,," 	2,369 "," 	114,147 ",,
GREE,Greenbelt Park,MD,NCR,,1,2011," 	28,295 "," 	536,153 ",,
HAFE,Harpers Ferry National Historic Park,MD,NCR,11/1/11,1,2011," 	3,230 "," 	228,987 ",,
GLCA,Glen Canyon National Recreation Area,AZ,IMR,,0,, 	28 ," 	406,656 ",,
KOWA,Korean War Veterans Memorial,DC,NCR,,1,2011," 	19,611 "," 	2,414,705 ",,
GOSP,Golden Spike National Historic Site,UT,IMR,,0,, 	0 , 	-00 ,,
GOIS,Governors Island National Monument,NY,NER,,0,," 	5,810 "," 	365,530 ",,
LIME,Lincoln Memorial,DC,NCR,,1,2011, 	9 ," 	10,350 ",,
MANA,Manassas National Battlefield Park,VA,NCR,,1,9/13/13, 	52 , 	-00 ,,
GRPO,Grand Portage National Monument,MN,MWR,,0,, 	0 ," 	690,330 ",,
GRTE,Grand Teton National Park,WY,IMR,,0,, 	341 ," 	263,564 ",,
GRKO,Grant-Kohrs Ranch National Historic Site,MT,IMR,,0,, 	8 ," 	2,158,325 ",,
MMBC,Mary McLeod Bethune House National Historic Site,DC,NCR,,1,2011, 	9 ," 	16,262 ",,
GREG,Great Egg Harbor National River,NJ,NER,,0,," 	6,997 ", 	-00 ,,
